A. Sai Teja | 0014290 | added instructormail schema
A. Sai Teja | 0133044 | added ui for course.ejs
A. Sai Teja | 080ba70 | magazines
A. Sai Teja | 09177cc | .
A. Sai Teja | 0c612ba | Magazines updated dynamically based on user role
A. Sai Teja | 115b289 | Dynamically updated course.ejs
A. Sai Teja | 152af72 | Changed to atlas successfully tested and working fine
A. Sai Teja | 20ca0b3 | updated css of navbar
A. Sai Teja | 2cc2015 | Metaport
A. Sai Teja | 386a0e6 | Updated db.js to fix connection issues and ensure proper error handling.
A. Sai Teja | 3a310c0 | updated..
A. Sai Teja | 41ffd69 | Fix: use server-provided courseId in course.ejs enroll link and client script to avoid invalid course ID errors
A. Sai Teja | 4b01d27 | updated ui of student home page
A. Sai Teja | 5a9ed4b | Fixed the drop alert positioning and animation and mark as complete functionality and enroll functionality
A. Sai Teja | 693a3b2 | Merge branch 'main' of https://github.com/namith-1/Izumi_E_Learning
A. Sai Teja | 72bbdf5 | Updated the controller
A. Sai Teja | 7451096 | .
A. Sai Teja | 77bd3c4 | changes to controllers and models for environment variable integration
A. Sai Teja | 79a963c | Added enroll ui and updated the backend
A. Sai Teja | 7a11722 | ds
A. Sai Teja | 8b32dbc | updated dom validation in user profile update page
A. Sai Teja | 94fdcc9 | Converted Mangodb to atlas
A. Sai Teja | 9a0661d | Fixed the bugs and errors in the codebase and added a .env.example file for environment variable reference.
A. Sai Teja | b1101ab | dynamically load content based on user interaction.
A. Sai Teja | b4188bb | updated dhtml
A. Sai Teja | c280616 | changed ui's of the login and signup
A. Sai Teja | c634408 | Merge branch 'main' of https://github.com/namith-1/Izumi_E_Learning
A. Sai Teja | cc4a081 | updated the .md file
A. Sai Teja | d52a9e8 | updated ui of course.ejs
A. Sai Teja | e02eab9 | Merge branch 'main' of https://github.com/namith-1/Izumi_E_Learning into UI
A. Sai Teja | ef434b2 | fixed the instructCourse.js
namith-1 | 156c888 | Added price option in CourseCreate and updated course create logic
namith-1 | 1723983 | Added Schemas related to instructor-mAdded institutemail,courseStatus,transaction schemas
namith-1 | 1fd09ca | Added Course Info view for Instructor
namith-1 | 8d3e6fd | Added MOdels and controllers and routes of instructor info
namith-1 | 92349fe | Added good UI for Intructor login page
namith-1 | 963dc74 | Added Schemas related to instructor
namith-1 | 997b831 | Added signup Institute Mail and routes for that
namith-1 | a631b13 | Modified UI of Instructor Dash Board , Added Contact admin feature
namith-1 | d2aabff | Merge branch 'Teacher-UI-backend-edit' of https://github.com/namith-1/Izumi_E_Learning into Teacher-UI-backend-edit
namith-raj | 08c4fc9 | Initial commit
namith-raj | 20a6a69 | Merge branch 'main' into instructor-UI-changes
namith-raj | 3421c3a | Merge pull request #50 from namith-1/instructor-UI-changes
namith-raj | 810e9a8 | Merge pull request #49 from namith-1/admin-edit
Nikhil2385 | 2dc3f96 | Recurring error correction
Nikhil2385 | 5187574 | added DOM validation for Admin-contact page
Nikhil2385 | 5317954 | Improved UI of instructor dash board
